country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index
Botswana,"2,450,668","$45,553,000,000 USD","$581,000,000 USD","$1,761,000,000 USD","1,029,281","12,000",0,500,"12,000",0,"Stock: 45			
Readiness: 18*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (22.2%)

Readiness: 4*","Stock: 9 (20.0%)

Readiness: 4*","Stock: 16 (35.6%)

Readiness: 6*","Stock: 10 (22.2%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 45				
Readiness: 20*","Stock: 12				
Readiness: 5*","Stock: 36				
Readiness: 16*","Stock: 20				
Readiness: 9*",2.9993
Nicaragua,"6,676,948","$52,989,000,000 USD","$1,311,600,000 USD","$6,753,000,000 USD","3,271,705","45,000",0,815,"42,935","1,250","Stock: 17			
Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (29.4%)

Readiness: 3*","Stock: 12 (70.6%)

Readiness: 6*","Stock: 1 (5.9%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",23,0,0,0,0,0,0,23,0,"Stock: 186				
Readiness: 102*","Stock: 0				
Readiness: 0*","Stock: 347				
Readiness: 191*","Stock: 151				
Readiness: 83*",2.5894
Madagascar,"29,452,714","$52,968,000,000 USD","$147,630,000 USD","$3,548,000,000 USD","11,192,031","13,500",0,300,"21,600",500,"Stock: 6			
Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (16.7%)

Readiness: 1*","Stock: 5 (83.3%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",7,0,0,0,0,0,0,5,0,"Stock: 12				
Readiness: 7*","Stock: 0				
Readiness: 0*","Stock: 17				
Readiness: 9*","Stock: 0				
Readiness: 0*",3.0381
Cambodia,"17,063,669","$123,676,000,000 USD","$750,000,000 USD","$8,019,000,000 USD","8,190,561","124,300",0,"1,500","75,000","2,800","Stock: 24			
Readiness: 13*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (16.7%)

Readiness: 2*","Stock: 20 (83.3%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",20,0,0,0,0,0,0,20,0,"Stock: 520				
Readiness: 286*","Stock: 30				
Readiness: 17*","Stock: 525				
Readiness: 289*","Stock: 521				
Readiness: 287*",1.8434
Azerbaijan,"10,650,239","$225,198,000,000 USD","$5,100,000,000 USD","$12,378,000,000 USD","5,218,617","128,000","306,000","15,000","110,000","3,000","Stock: 159			
Readiness: 87*","Stock: 20 (12.6%)

Readiness: 11*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 4 (2.5%)

Readiness: 2*","Stock: 87 (54.7%)

Readiness: 48*","Stock: 36 (22.6%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 16 (10.1%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*",32,0,0,0,0,0,4,17,4,"Stock: 1,354				
Readiness: 880*","Stock: 135				
Readiness: 88*","Stock: 651				
Readiness: 423*","Stock: 696				
Readiness: 452*",1.1991
Slovenia,"2,097,893","$103,118,000,000 USD","$1,782,000,000 USD","$60,500,000,000 USD","1,006,989","7,000","26,000",615,"32,035",350,"Stock: 40			
Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (12.5%)

Readiness: 4*","Stock: 16 (40.0%)

Readiness: 11*","Stock: 23 (57.5%)

Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",3,0,0,0,0,0,0,3,0,"Stock: 54				
Readiness: 38*","Stock: 17				
Readiness: 12*","Stock: 18				
Readiness: 13*","Stock: 0				
Readiness: 0*",1.9404
Finland,"5,626,414","$313,591,000,000 USD","$8,890,000,000 USD","$726,000,000,000 USD","2,306,830","24,000","870,000","41,100","42,000","6,700","Stock: 162			
Readiness: 122*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 53 (32.7%)

Readiness: 40*","Stock: 11 (6.8%)

Readiness: 8*","Stock: 27 (16.7%)

Readiness: 20*","Stock: 77 (47.5%)

Readiness: 58*","Stock: 1 (0.6%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",165,0,0,0,0,0,0,8,18,"Stock: 200				
Readiness: 150*","Stock: 125				
Readiness: 94*","Stock: 667				
Readiness: 500*","Stock: 76				
Readiness: 57*",0.8673
Namibia,"2,803,660","$31,154,000,000 USD","$450,498,000 USD","$9,680,000,000 USD","616,805","17,567",0,"1,175","8,500","3,000","Stock: 36			
Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (30.6%)

Readiness: 5*","Stock: 5 (13.9%)

Readiness: 2*","Stock: 7 (19.4%)

Readiness: 3*","Stock: 13 (36.1%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (5.6%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*",15,0,0,0,0,2,0,15,0,"Stock: 7				
Readiness: 4*","Stock: 0				
Readiness: 0*","Stock: 50				
Readiness: 25*","Stock: 55				
Readiness: 28*",2.7414
Singapore,"6,028,459","$800,304,000,000 USD","$18,000,000,000 USD","$1,884,751,660,000 USD","3,918,498","51,000","252,500","13,500","280,000","9,000","Stock: 235			
Readiness: 176*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 100 (42.6%)

Readiness: 75*","Stock: 9 (3.8%)

Readiness: 7*","Stock: 75 (31.9%)

Readiness: 56*","Stock: 36 (15.3%)

Readiness: 27*","Stock: 9 (3.8%)

Readiness: 7*","Stock: 20 (8.5%)

Readiness: 15*","Stock: 11 (4.7%)

Readiness: 8*",101,0,0,0,6,6,6,55,4,"Stock: 170				
Readiness: 128*","Stock: 48				
Readiness: 36*","Stock: 89				
Readiness: 67*","Stock: 24				
Readiness: 18*",0.5272
Austria,"8,967,982","$581,131,000,000 USD","$6,103,900,800 USD","$693,000,000,000 USD","4,035,592","25,000","125,600","4,300","141,000",0,"Stock: 90			
Readiness: 68*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (16.7%)

Readiness: 11*","Stock: 11 (12.2%)

Readiness: 8*","Stock: 41 (45.6%)

Readiness: 31*","Stock: 23 (25.6%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 56				
Readiness: 42*","Stock: 30				
Readiness: 23*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",1.3759
Philippines,"118,277,063","$1,202,000,000,000 USD","$6,571,641,011 USD","$63,241,000,000 USD","50,859,137","160,000","1,500,000","33,600","1,310,000","42,270","Stock: 204			
Readiness: 112*","Stock: 17 (8.3%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 23 (11.3%)

Readiness: 13*","Stock: 130 (63.7%)

Readiness: 72*","Stock: 23 (11.3%)

Readiness: 13*","Stock: 11 (5.4%)

Readiness: 6*","Stock: 6 (2.9%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",127,0,0,0,4,1,0,60,0,"Stock: 18				
Readiness: 11*","Stock: 12				
Readiness: 7*","Stock: 296				
Readiness: 178*","Stock: 0				
Readiness: 0*",0.6993
Honduras,"9,529,188","$71,297,000,000 USD","$612,300,000 USD","$7,785,000,000 USD","4,192,843","52,225",0,"8,520","83,000","4,000","Stock: 45			
Readiness: 25*","Stock: 7 (15.6%)

Readiness: 4*","Stock: 6 (13.3%)

Readiness: 3*","Stock: 10 (22.2%)

Readiness: 6*","Stock: 11 (24.4%)

Readiness: 6*","Stock: 10 (22.2%)

Readiness: 6*","Stock: 1 (2.2%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",98,0,0,0,0,0,0,93,0,"Stock: 22				
Readiness: 14*","Stock: 0				
Readiness: 0*","Stock: 48				
Readiness: 31*","Stock: 0				
Readiness: 0*",2.2575
Bhutan,"884,546","$11,517,000,000 USD","$26,600,000 USD","$2,827,000,000 USD","203,446","16,000","50,000",0,"66,000",0,"Stock: 2			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (100.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",5.7991
Democratic Republic Of The Congo,"115,403,027","$164,367,000,000 USD","$960,000,000 USD","$7,926,000,000 USD","39,237,029","166,580","30,800","2,550","103,000","6,700","Stock: 56			
Readiness: 25*","Stock: 6 (10.7%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (17.9%)

Readiness: 5*","Stock: 38 (67.9%)

Readiness: 17*","Stock: 2 (3.6%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 9 (16.1%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*",16,0,0,0,0,0,0,16,0,"Stock: 212				
Readiness: 117*","Stock: 16				
Readiness: 9*","Stock: 125				
Readiness: 69*","Stock: 81				
Readiness: 45*",1.3051
Australia,"26,768,598","$1,635,000,000,000 USD","$57,350,000,000 USD","$3,770,254,730,000 USD","11,242,811","58,910","33,270","21,584","44,235","20,607","Stock: 348			
Readiness: 261*","Stock: 71 (20.4%)

Readiness: 53*","Stock: 24 (6.9%)

Readiness: 18*","Stock: 37 (10.6%)

Readiness: 28*","Stock: 72 (20.7%)

Readiness: 54*","Stock: 107 (30.7%)

Readiness: 80*","Stock: 31 (8.9%)

Readiness: 23*","Stock: 22 (6.3%)

Readiness: 17*","Stock: 6 (1.7%)

Readiness: 5*",45,0,2,3,7,0,6,13,3,"Stock: 46				
Readiness: 35*","Stock: 0				
Readiness: 0*","Stock: 48				
Readiness: 36*","Stock: 8				
Readiness: 6*",0.3208
Israel,"9,402,617","$472,177,000,000 USD","$34,600,000,000 USD","$163,350,000,000 USD","3,949,099","169,500","465,000","89,000","526,000","19,500","Stock: 597			
Readiness: 478*","Stock: 45 (7.5%)

Readiness: 36*","Stock: 239 (40.0%)

Readiness: 191*","Stock: 14 (2.3%)

Readiness: 11*","Stock: 127 (21.3%)

Readiness: 102*","Stock: 148 (24.8%)

Readiness: 118*","Stock: 19 (3.2%)

Readiness: 15*","Stock: 48 (8.0%)

Readiness: 38*","Stock: 13 (2.2%)

Readiness: 10*",82,0,0,0,0,7,6,66,0,"Stock: 1,300				
Readiness: 1,040*","Stock: 323				
Readiness: 258*","Stock: 171				
Readiness: 137*","Stock: 228				
Readiness: 182*",0.2707
Kuwait,"3,138,355","$225,947,000,000 USD","$7,987,000,000 USD","$60,500,000,000 USD","1,726,095","78,000","24,000","2,500","103,000","4,000","Stock: 133			
Readiness: 80*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 47 (35.3%)

Readiness: 28*","Stock: 2 (1.5%)

Readiness: 1*","Stock: 68 (51.1%)

Readiness: 41*","Stock: 13 (9.8%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 16 (12.0%)

Readiness: 10*","Stock: 3 (2.3%)

Readiness: 2*",123,0,0,0,0,0,0,106,0,"Stock: 367				
Readiness: 220*","Stock: 51				
Readiness: 31*","Stock: 0				
Readiness: 0*","Stock: 27				
Readiness: 16*",1.7161
Iraq,"42,083,436","$585,887,000,000 USD","$8,000,000,000 USD","$15,580,000,000 USD","17,675,043","193,000",0,"5,000","180,000","3,000","Stock: 360			
Readiness: 216*","Stock: 36 (10.0%)

Readiness: 22*","Stock: 26 (7.2%)

Readiness: 16*","Stock: 15 (4.2%)

Readiness: 9*","Stock: 183 (50.8%)

Readiness: 110*","Stock: 111 (30.8%)

Readiness: 67*","Stock: 17 (4.7%)

Readiness: 10*","Stock: 39 (10.8%)

Readiness: 23*","Stock: 0 (0.0%)

Readiness: 0*",67,0,0,0,0,1,0,55,0,"Stock: 1,188				
Readiness: 713*","Stock: 434				
Readiness: 260*","Stock: 610				
Readiness: 366*","Stock: 572				
Readiness: 343*",0.8115
South Korea,"52,081,799","$2,607,000,000,000 USD","$44,800,000,000 USD","$553,871,450,000 USD","26,040,900","450,000","3,100,000","65,000","365,000","70,000","Stock: 1,540			
Readiness: 1,078*","Stock: 98 (6.4%)

Readiness: 69*","Stock: 242 (15.7%)

Readiness: 169*","Stock: 40 (2.6%)

Readiness: 28*","Stock: 827 (53.7%)

Readiness: 579*","Stock: 335 (21.8%)

Readiness: 235*","Stock: 35 (2.3%)

Readiness: 25*","Stock: 113 (7.3%)

Readiness: 79*","Stock: 4 (0.3%)

Readiness: 3*",215,0,2,14,18,3,22,96,14,"Stock: 1,831				
Readiness: 1,282*","Stock: 2,780				
Readiness: 1,946*","Stock: 5,800				
Readiness: 4,060*","Stock: 525				
Readiness: 368*",0.1642
Lithuania,"2,628,186","$136,227,000,000 USD","$5,651,760,000 USD","$48,400,000,000 USD","1,708,321","23,000","104,000","1,500","21,000",700,"Stock: 9			
Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (55.6%)

Readiness: 3*","Stock: 4 (44.4%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",13,0,0,0,0,0,0,5,4,"Stock: 0				
Readiness: 0*","Stock: 16				
Readiness: 10*","Stock: 54				
Readiness: 32*","Stock: 0				
Readiness: 0*",1.8949
Mexico,"130,739,927","$2,883,000,000,000 USD","$9,100,000,000 USD","$306,308,000,000 USD","61,447,766","387,000","98,653","30,515","275,443","92,043","Stock: 424			
Readiness: 254*","Stock: 32 (7.5%)

Readiness: 19*","Stock: 2 (0.5%)

Readiness: 1*","Stock: 40 (9.4%)

Readiness: 24*","Stock: 173 (40.8%)

Readiness: 104*","Stock: 175 (41.3%)

Readiness: 105*","Stock: 25 (5.9%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",164,0,0,0,1,3,0,142,0,"Stock: 0				
Readiness: 0*","Stock: 35				
Readiness: 21*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.6401
Estonia,"1,193,791","$57,001,000,000 USD","$2,375,000,000 USD","$29,040,000,000 USD","584,958","7,700","230,000",400,"44,000",550,"Stock: 2			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (100.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",8,0,0,0,0,0,0,4,4,"Stock: 0				
Readiness: 0*","Stock: 48				
Readiness: 34*","Stock: 0				
Readiness: 0*","Stock: 6				
Readiness: 4*",2.3201
Iceland,"364,036","$26,561,000,000 USD","$500,000,000 USD","$24,200,000,000 USD","83,728",0,0,0,0,0,"Stock: 0			
Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",0,0,0,0,0,0,0,0,0,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",3.4013
Serbia,"6,652,212","$177,093,000,000 USD","$2,770,000,000 USD","$21,726,000,000 USD","3,259,584","22,500","2,000","3,000","13,200",0,"Stock: 115			
Readiness: 69*","Stock: 17 (14.8%)

Readiness: 10*","Stock: 11 (9.6%)

Readiness: 7*","Stock: 3 (2.6%)

Readiness: 2*","Stock: 51 (44.3%)

Readiness: 31*","Stock: 33 (28.7%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (3.5%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 242				
Readiness: 145*","Stock: 96				
Readiness: 58*","Stock: 150				
Readiness: 90*","Stock: 73				
Readiness: 44*",1.2938
Lebanon,"5,364,482","$65,415,000,000 USD","$800,000,000 USD","$41,619,000,000 USD","2,092,148","80,000","15,000","2,500","99,000","1,500","Stock: 80			
Readiness: 40*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 68 (85.0%)

Readiness: 34*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",48,0,0,0,0,0,0,42,0,"Stock: 334				
Readiness: 184*","Stock: 12				
Readiness: 7*","Stock: 350				
Readiness: 193*","Stock: 11				
Readiness: 6*",2.6521
Greece,"10,461,091","$192,205,000,000 USD","$8,242,150,000 USD","$605,000,000,000 USD","4,916,713","142,700","221,350","42,500","200,000","30,000","Stock: 560			
Readiness: 392*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 178 (31.8%)

Readiness: 125*","Stock: 17 (3.0%)

Readiness: 12*","Stock: 285 (50.9%)

Readiness: 200*","Stock: 86 (15.4%)

Readiness: 60*","Stock: 8 (1.4%)

Readiness: 6*","Stock: 28 (5.0%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*",186,0,0,0,14,0,9,45,3,"Stock: 1,344				
Readiness: 874*","Stock: 589				
Readiness: 383*","Stock: 698				
Readiness: 454*","Stock: 152				
Readiness: 99*",0.5484
